state1,state2,typology,fence,wall,additional_fortification,fortification_description,landmine,bcp,bcp_infrastructure,avdan_2019,hassner_wittenberg_2015,jellissen_gottheil_2013,jones_2012,wikipedia,linnell_et_al_2016
GTM,MEX,3,0,0,0,,0,"14.675197,-92.1429422",1,0,0,0,0,0,0
GTM,SLV,3,0,0,0,,0,"14.0200372,-89.9098846",2,0,0,0,0,0,0
GUY,BRA,3,0,0,0,,0,"3.381045,-59.8092678",1,0,0,0,0,0,0
GUY,SUR,3,0,0,0,,0,"5.7806694,-57.1713038",2,0,0,0,0,0,0
GUY,VEN,1,0,0,0,,0,,0,0,0,0,0,0,0
HND,GTM,3,0,0,0,,0,"14.535195,-89.2799764",2,0,0,0,0,0,0
HND,NIC,3,0,0,0,,0,"13.0622754,-86.9570076",2,0,0,0,0,0,0
HND,SLV,3,0,0,0,,0,"13.5965584,-87.7655028",1,0,0,0,0,0,0
HRV,BIH,3,0,0,0,,4,"43.611016,16.9730668",2,0,0,0,0,0,0
HRV,HUN,3,0,0,0,,4,"45.941923,17.4596596",1,0,0,0,0,0,0
HRV,MNE,3,0,0,0,,4,"42.490323,18.4319333",2,0,0,0,0,0,0
HRV,SRB,3,0,0,0,,4,"45.048232,19.0942843",2,0,0,0,0,0,0
HRV,SVN,3,0,0,0,,4,"45.8410032,15.6963799",2,0,0,0,0,0,0
HTI,DOM,4,0,1,1,"2,5m concrete wall",0,"19.550883,-71.7144225",1,0,0,0,0,0,0
HUN,AUT,2,0,0,0,,0,"47.253912,16.4716329",2,0,0,0,0,0,0
HUN,HRV,5,1,0,0,3.5m high; topped with barbed wire,0,"45.948109,17.4615359",2,1,0,0,0,1,1
HUN,ROU,3,0,0,0,,0,"46.211756,20.7634387",2,0,0,0,0,0,0
HUN,SRB,5,1,0,0,3.5m high; topped with barbed wire,0,"46.169199,19.5556537",2,0,0,0,0,0,0
HUN,SVK,2,0,0,0,,0,"48.00975,17.175478",2,0,0,0,0,0,0
HUN,SVN,2,0,0,0,,0,"46.51718,16.5305045",0,0,0,0,0,0,0
HUN,UKR,3,0,0,0,,0,"48.164309,22.5688703",2,0,0,0,0,0,0
IDN,MYS,3,0,0,0,,0,"0.9858233,110.3509273",2,0,0,0,0,0,0
IDN,PNG,3,0,0,0,,0,"-2.6086121,140.998027",2,0,0,0,0,0,0
IDN,TLS,3,0,0,0,,0,"-8.9593912,124.9514388",2,0,0,0,0,0,0
IND,BGD,5,1,0,0,double 4m-high metal studs; barbed wire is installed between the fences,,"24.8460247,88.140197",1,1,1,1,1,1,0
IND,BTN,3,0,0,0,,,"26.7925144,91.5016034",1,0,0,0,0,0,0
IND,CHN,1,1,0,0,,,,0,0,0,0,0,0,0
IND,MMR,4,1,0,0,"10km double 3,60m-high fence with barbed wire installed between the fences",,"24.2468144,94.3072174",1,1,1,1,1,0,1
IND,NPL,3,0,0,0,,,"27.4757992,83.4692478",1,0,0,0,0,0,0
IND,PAK,5,1,0,0,different metal fences topped with barbed wire,,"54.113749,-6.3663178",1,1,1,1,1,1,0
IRL,GBR,2,0,0,0,,0,none,0,0,0,0,0,0,0
